id,severity,category,title,location,evidence,impact,recommendation
F-013,HIGH,Scientific testing,Scientific tests do not cover publication benchmark conditions,tests/scientific/test_ieee_cases.py:1-10; tests/unit/test_robustness.py:1-14,"Power-flow cross-check covers only base case30/57/118. It omits case300, optimized mixed-variable control vectors, Q-limit switching parity, contingencies, renewable/load uncertainty, robust aggregation edge cases and post-optimization independent validation. The CVaR assertion is only `>=2`.","Core publication pathways can be wrong while the scientific suite remains green, as demonstrated by the CVaR defect.","Add a compact but authoritative scientific regression matrix across all cases, formulation profiles, robust modes, discrete controls, Q-limit events and final independent validation."
F-014,MEDIUM,Test engineering,Coverage is 37% and critical orchestration/export paths are untested,Repository-wide,"Unit+scientific+integration coverage: 16,155 statements, 10,193 missed, 37%. publication_export is 0%, final benchmark runner 0%, experiment_manager 0%, and publication_evidence 8%.","High-risk changes in scheduling, persistence, campaign packaging and publication evidence can regress without detection.","Set staged coverage gates (for example 60% overall first, then 75%+) and require high branch coverage on publication, scheduler, campaign and validation modules."
F-015,MEDIUM,Versioning,Bootstrap environment-state version is stale at 3.2.0,"calo_bootstrap/prerequisites.py:22,865-899; pyproject.toml:5-8",Package version is 3.3.0 but APP_VERSION remains 3.2.0 and controls first_launch_or_version_changed/cpu_fallback acceptance.,"A 3.2 environment state can be treated as current by 3.3, skipping intended prerequisite re-checks after the CUDA-resident release.","Read the installed package version from importlib.metadata with a safe fallback, and test version-transition behavior."
F-016,MEDIUM,Provenance,v3.3 benchmark code is still labeled v2/v3.2 and writes benchmark_v2,"benchmarking/campaign.py:19,32,45; benchmarking/package.py:114; scripts/run_final_benchmark.py:1,25,27; gui/panels/benchmark_campaign_panel.py:121,171,209","Campaign names, errors, CLI help, GUI defaults and article summary contain stale release identifiers.",Output directories and manuscript evidence can be misattributed to the wrong software/freeze version.,"Derive release and freeze identifiers centrally, include manifest hash in paths/reports, and remove hard-coded historical labels."
F-017,MEDIUM,Repository hygiene,Repository claims no pre-populated results but ships stale v1.0.6 evidence,publication_export/README.md and all files under publication_export/,"README says no pre-populated experimental results. The directory contains CSV/TeX/ZIP/metadata from software 1.0.6, one infeasible run, budget 100 and an old policy path.",Users may mistake stale diagnostic output for v3.3 validated evidence; repository statements are internally contradictory.,Remove generated results from source control or place a clearly labeled synthetic example with schema/version checks and no publication claim.
F-018,MEDIUM,Portability/privacy,Frozen/provenance JSON embeds absolute developer paths and an empty historical-learning snapshot,historical_experience_v1.3.json; data/frozen/historical_training_snapshot_v2.json; data/trained_models/*.json,"Several JSON files contain `C:\Users\User\Downloads...`; both historical snapshots contain zero policy trajectories, zero cross-algorithm solutions and zero parameter priors, yet the frozen manifest includes the snapshot.","Leaks local path information, reduces portability and can imply historical learning evidence that is absent.","Sanitize paths to repository-relative provenance; clearly record zero-data snapshots as disabled/not applicable; freeze only meaningful, documented training inputs."
F-019,MEDIUM,Security/trust boundary,Checkpoints and worker payloads use unsafe deserialization,ai/model_io.py:4; algorithms/calo/ai_controller.py:195; algorithms/calo/training.py:736; algorithms/calo/heterogeneous_training.py:609; compute persistent-worker modules,"Bandit reports unsafe torch.load(weights_only=False) and pickle deserialization. No high-severity issue was found, but these formats can execute code if files/frames are attacker-controlled.","Opening an untrusted checkpoint, resume file or manipulated local worker stream can execute arbitrary code.","Treat all such inputs as trusted-only in UI/docs, verify hashes before load, use weights_only=True for model-only checkpoints, validate schemas and replace pickle protocols where practical."
F-020,MEDIUM,Reproducibility,No exact dependency lock or CI workflow,pyproject.toml:13-33; repository root,Dependencies are broad version ranges; there is no lock/conda environment and no .github/workflows directory. Per-run provenance helps but does not recreate the environment automatically.,"Numerical behavior, GUI compatibility and packaging results can drift across NumPy/SciPy/PyTorch/PYPOWER versions and platforms.","Publish hashed lock files for supported CPU/CUDA/XPU environments and run a CI matrix for Python 3.11-3.13, Linux/Windows, headless GUI and CPU scientific tests."
F-021,MEDIUM,Maintainability,Several modules are too large and combine many responsibilities,app/experiment_manager.py; algorithms/calo/heterogeneous_training.py; gui/plotting/plot_format_toolbar.py; results/database.py,"Largest modules are 1,662, 1,246, 1,106 and 879 lines. The experiment manager mixes planning, scheduling, workers, persistence, progress and failure handling.","Reviewability, unit isolation and safe modification decline; critical paths have low coverage.","Split orchestration into planner/scheduler/executor/persistence services, extract plotting control models, and isolate database repositories/migrations."
F-022,MEDIUM,Static quality,Ruff reports 26 errors and lint is not a release gate,Repository-wide; persistent_accelerator_sidecar.py:131,"Findings include 12 unused imports, unused state/locals and the production F821 undefined-name defect. RELEASE_VALIDATION says Ruff was not installed.",Simple defects survive release packaging and dead code obscures numerical paths.,"Add `ruff check`, formatting, compileall and import checks to CI and release scripts; do not publish when F/E errors remain."
F-023,MEDIUM,Publication rendering,Times New Roman output is not portable or preflighted,GUI/plotting and visualization modules,Headless GUI tests emitted 219 `Font family Times New Roman not found` warnings. Matplotlib silently substitutes a font.,Exported 600-DPI figures may not meet declared journal typography requirements and can vary by workstation.,Add a font availability preflight and explicit fallback disclosure; record the resolved font in export metadata. Do not bundle proprietary font files.
F-024,LOW,Source provenance,Archive contains no Git history or commit identity,Uploaded archive root,"The zip has no .git directory. The freeze and file manifest are useful, but there is no auditable commit graph or signed tag in the delivered archive.",Change provenance and review history cannot be reconstructed from this artifact alone.,"Release from a tagged commit and include commit SHA, tag, source archive hash and signed release metadata."
