Finding,Severity,Status_v5_7,Resolution,Evidence,Residual_or_limitation
N-003,MEDIUM,ENVIRONMENT_LIMITATION,PyQt6/PYPOWER are unavailable in this build runtime and are recorded as unavailable rather than falsely passed.,RELEASE_VALIDATION.md,Not a source-code defect.
N-004,HIGH,PARTIAL_NEW_V56_SCOPE_DEFERRED,"Added regression coverage for carried-forward robust, fingerprint, FE-parity, per-generator, publication fail-closed, statistics, trust, broker and release-hygiene defects.",test_v57_previous_audit_closure.py; test_v57_audit_closure_integration.py,"New v5.6 Section-3 competitive-training issues (transactional branch commit, early Safe Stop, infinite-memory bounds, comparator order-independence, etc.) remain a separate remediation phase."
O-001,MEDIUM,PARTIAL_STRUCTURAL_TECH_DEBT,Scientific/storage/UI service boundaries are documented and critical responsibilities are separated by stable APIs.,docs/ARCHITECTURE_BOUNDARIES_V57.md,Several orchestration modules remain large and should be refactored incrementally; not claimed fully resolved.
O-002,MEDIUM,RESOLVED_FOR_SILENT_PASS_CLASS,No broad Exception/BaseException handler with sole pass remains; state/checkpoint/provenance failures are logged or propagated.,AST regression test,
O-003,LOW/MEDIUM,RESOLVED_DOCUMENTED,v5.7 documents application-version vs ABI-version namespaces and deployable/checkpoint/continuation API boundaries and compatibility expectations.,docs/API_COMPATIBILITY_V57.md,
P-001,HIGH,RESOLVED_CARRIED_FORWARD_SCOPE,Robust constraint aggregation frozen: all-scenario/max by default; expected-weighted only explicit.,v5.7 scientific code/tests/freeze,
P-002,HIGH,RESOLVED_CARRIED_FORWARD_SCOPE,Per-unit P/Q capability accounting frozen for individual online generators.,v5.7 scientific code/tests/freeze,
P-003,HIGH,RESOLVED_CARRIED_FORWARD_SCOPE,Voltage-deviation bus set frozen from original declared formulation partition.,v5.7 scientific code/tests/freeze,
P-004,HIGH,RESOLVED_CARRIED_FORWARD_SCOPE,L-index partition frozen from original declared formulation partition.,v5.7 scientific code/tests/freeze,
P-005,HIGH,RESOLVED_CARRIED_FORWARD_SCOPE,"Saved-Base promotion protocol frozen to case-wise paired evidence, independent validation, minimum 30 promotion runs and multiplicity/effect gates.",v5.7 scientific code/tests/freeze,
P-006,HIGH,RESOLVED_CARRIED_FORWARD_SCOPE,Carried-forward unsafe independent-model arithmetic averaging is removed; competitive branches never merge neural/optimizer/RNG state.,v5.7 scientific code/tests/freeze,New v5.6 competitive comparator/transaction/resource issues are not silently folded into this carried-forward P-006 closure.
P-007,HIGH,RESOLVED_CARRIED_FORWARD_SCOPE,Strict equal-FE protocol requires population-divisible budget and exact identical requested FE.,v5.7 scientific code/tests/freeze,
P-008,MEDIUM,RESOLVED_CARRIED_FORWARD_SCOPE,Boundary repair is an explicit shared clipping policy with accounting telemetry.,v5.7 scientific code/tests/freeze,
