ID,Severity,Finding,v5.9 Status,Resolution / Scientific Treatment,Evidence
POLICY-007,HIGH/MED,Historical trajectories were lossy 24D/postprocessed supervision,RESOLVED FOR v5.9 TRAJECTORIES,v5.9 records full 32D raw policy state/action distributions and separately records executed controller interventions/actions. Legacy 24D data remains explicitly legacy/downweighted rather than silently exact.,optimizer.py / training.py / policy_schema.py
POLICY-008,HIGH/MED,Historical transfer compatibility key too weak,RESOLVED,"Full scientific formulation fingerprint covers case, variable manifest, objective, PF, robust/scenario transforms, tolerances, repair/schema identity.",formulation_fingerprint.py / experience_repository.py
CALO-001,HIGH/MED,Repair telemetry double-counted or bypassed depending evaluator/cache,RESOLVED,Repair occurs through one accounting authority before cache/evaluation; cached and uncached regression gives identical candidate/coordinate counts.,base_optimizer.py / evaluation_cache.py / v5.9 regression
CALO-002,MED/HIGH,Feasibility tolerances effectively inconsistent/near-zero,RESOLVED,Versioned ConstraintToleranceConfig is propagated through CPU/accelerator/scientific fingerprints with per-constraint tolerances.,constraints.py / experiment_config.py / accelerated backends
CALO-003,MED,Complex CALO needs ablation for causal publication claims,PROTOCOL REQUIREMENT / NOT A CODE BUG,Ablation infrastructure remains; final papers must predeclare and run ablations under equal FE/seeds/evaluator. v5.9 does not fabricate ablation evidence.,experiments/calo_ablation.py
CALO-004,MED,Evaluation cache can affect runtime comparisons,DECLARED METHODOLOGICAL LIMITATION,FE accounting remains request-fair; runtime claims must disclose cache policy/hit rates.,evaluation_cache.py / reports
PF-001,HIGH,N-1 bundles omitted intact base system,RESOLVED,Branch/generator N-1 builders include intact base (P0) plus selected single contingencies by default.,robustness/contingencies.py + regression
PF-002,HIGH,ANGMIN/ANGMAX validated but not enforced,RESOLVED,Branch angle-difference violation implemented with MATPOWER-compatible 0/0 and ±360 sentinel semantics across CPU and accelerated constraint evaluators.,orpd/constraints.py / accelerated backends + regression
PF-003,HIGH,Accelerator parity ignored configured PowerFlowOptions,RESOLVED,"Parity problem/fingerprint now includes exact objective, variable config, robust config, scenarios, PF options and tolerance schema.",accelerated/parity_audit.py / formulation_fingerprint.py
PF-004,MED/HIGH,Parity sample coverage too weak,RESOLVED/MATERIALLY STRENGTHENED,"Deterministic battery covers center/bounds/corners/alternating plus random samples; parity compares objective/constraint components, feasibility, convergence, bus types, voltage magnitude/angle and scenarios. Physical hardware gate still required.",accelerated/parity_audit.py / torch_orpd.py
PF-005,HIGH,Objective config allowed negative/nonfinite weights and bad scales,RESOLVED,"ObjectiveConfig fails fast on nonfinite/negative weights, nonpositive scales and invalid multiobjective zero-weight definitions.",orpd/objectives.py + regression
PF-006,MED/HIGH,Yf/Yt used dense temporary allocation,RESOLVED,Branch current matrices are assembled directly as sparse triplets/CSR.,power_system/ybus.py + regression
PF-007,MED/HIGH,Co-located generator Q dispatch convention was implicit,RESOLVED BY EXPLICIT MODELING CONVENTION,"Capability-proportional post-allocation is explicitly documented as deterministic reporting/limit accounting, not unique physical AVR dispatch.",pv_pq_switching.py / PowerFlowResult metadata
PF-008,MED,Independent validation wording overstated full ORPD independence,RESOLVED BY SCOPE CLARIFICATION,Validation is explicitly independent AC power-flow cross-validation using configured PF options; it is not claimed as a separate complete ORPD reimplementation.,independent_validator.py / release docs
PF-009,LOW/MED,MATPOWER status/self-loop compatibility assumptions,RESOLVED/MATERIALLY IMPROVED,"Positive status means online, nonpositive offline; self-loop topology errors apply to in-service branches.",case_validation.py
ROBUST-001,MED,MONTE_CARLO and LOAD_UNCERTAINTY were methodologically indistinct,RESOLVED,Load uncertainty uses deterministic stratified scenarios; Monte Carlo uses seeded random scenarios.,experiment_runner.py / scenario_generator.py
ROBUST-002,MED/HIGH,Load uncertainty is simplified global scaling,DECLARED LIMITATION,Retained as system-wide aggregate load-scaling model; not claimed as spatially correlated nodal uncertainty.,release docs
ROBUST-003,MED/HIGH,Renewable uncertainty is simplified local net-load model,DECLARED LIMITATION,"Retained and explicitly scoped as simplified renewable net-load uncertainty, not a full inverter-control stochastic model.",release docs
STAT-001,HIGH,"Non-inferiority was descriptive margin check, not formal test",RESOLVED,One-sided paired Wilcoxon/sign fallback against declared margin plus Holm correction; formal gate is case-wise and comparator-by-case.,policy_qualification.py + regressions
GUI-001,MED,Sidebar and guided workflow order disagreed,RESOLVED,"Canonical order places Portfolio Manager immediately after Algorithms, then CALO Intelligence, Scenarios, Experiment; experiment gate requires all final prerequisites.",main_window.py / workflow_manager.py
CFG-001/002,HIGH/MED,Scientific configs relied too much on GUI validation,RESOLVED/MATERIALLY IMPROVED,"Objective, PF, robust, variable and tolerance configs fail fast at object boundary for finite/domain constraints.",object configs + regressions
PERF-001,MED/HIGH,Auxiliary branch matrices densified,RESOLVED,Direct sparse Yf/Yt construction.,ybus.py
PERF-002,MED/HIGH,CALO control remains partly host/Python,OPEN PERFORMANCE LIMITATION,Not rewritten blindly because trajectory parity is a scientific gate. Accelerator evaluator is available; deeper device residency requires separately qualified seeded parity.,release limitation
REL-001,MED/HIGH,Broad exception suppression could hide scientific authority failures,RESOLVED FOR SILENT-BROAD PATTERN / CONTINUED HARDENING,AST audit finds zero broad Exception/BaseException/bare handlers whose sole action is pass/continue/return. Critical authority paths use typed/logged failure handling.,AST audit + v5.8/v5.9 tests
SELF-590-001,HIGH,Post-generation audit found default PolicyQualifier.run referenced optional config instead of resolved qconfig,FOUND AND FIXED BEFORE RELEASE,Non-inferiority margin now always comes from validated qconfig; thresholds receive additional finite/domain validation.,policy_qualification.py
SELF-590-002,HIGH,Post-generation parity audit found branch-angle device indexing could mix scenario indices with bus endpoints,FOUND AND FIXED BEFORE RELEASE,Device-resident angle delta indexes bus-angle matrix directly by topology-invariant fidx/tidx; scenario indices apply only to scenario-varying status/limits.,device_resident_orpd.py
SELF-590-003,HIGH,Post-generation audit found scientific cross-run batch signature could be too weak,FOUND AND FIXED BEFORE RELEASE,Batch signature is based on canonical full scientific problem fingerprint plus device/dtype.,torch_orpd.py
SELF-590-004,HIGH,Post-generation audit found v5.9 freeze did not initially cover several new scientific modules,FOUND AND FIXED BEFORE RELEASE,"Freeze scope expanded to parity audit, formulation fingerprint, experience repository, core case/branch modules, evaluation budget/seed manager, scientific scripts and relevant workflow panels.",benchmarking/freeze.py
